level,file_name,time,number_of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance
L2,2019-1-L2-.wav,0.7302703857421875,136.0,20.0,2.0,4.0,34.3,59.2,0.6
L2,2019-1-L2-1.wav,0.23552417755126953,70.0,5.0,3.0,4.0,17.3,20.6,0.8
L2,2019-1-L2-2.wav,0.13001370429992676,38.0,2.0,4.0,4.0,8.8,10.7,0.8
L2,2019-1-L2-3.wav,0.23351120948791504,84.0,4.0,4.0,4.0,19.0,20.8,0.9
L3,2019-1-L3-.wav,0.7503070831298828,175.0,29.0,3.0,5.0,37.6,59.5,0.6
L3,2019-1-L3-1.wav,0.4497823715209961,138.0,12.0,4.0,4.0,30.7,37.9,0.8
L3,2019-1-L3-2.wav,0.35007572174072266,72.0,8.0,3.0,4.0,18.0,25.4,0.7
L3,2019-1-L3-3.wav,0.670069694519043,161.0,21.0,3.0,4.0,38.0,49.4,0.8
L3,2019-1-L3-4.wav,0.19659900665283203,52.0,4.0,3.0,4.0,13.6,15.7,0.9
L4,2019-1-L4-.wav,0.7506489753723145,221.0,15.0,4.0,5.0,47.6,58.7,0.8
L4,2019-1-L4-1.wav,0.47571396827697754,148.0,6.0,4.0,4.0,33.2,38.0,0.9
L4,2019-1-L4-2.wav,0.4575331211090088,149.0,9.0,4.0,5.0,32.6,39.1,0.8
L4,2019-1-L4-3.wav,0.3822214603424072,125.0,6.0,4.0,5.0,27.5,31.2,0.9
L5,2019-1-L5-.wav,0.7157444953918457,265.0,13.0,4.0,5.0,55.1,59.5,0.9
L5,2019-1-L5-1.wav,0.48660874366760254,187.0,8.0,5.0,5.0,37.9,41.1,0.9
L5,2019-1-L5-2.wav,0.6627039909362793,233.0,4.0,5.0,5.0,48.8,50.3,1.0
L5,2019-1-L5-3.wav,0.16846942901611328,56.0,6.0,4.0,5.0,11.4,14.1,0.8
L5,2019-1-L5-4.wav,0.6180806159973145,220.0,10.0,5.0,5.0,44.6,48.8,0.9
L5,2019-1-L5-5.wav,0.43463730812072754,148.0,6.0,4.0,5.0,29.8,34.5,0.9
L1,2019-2-L1-1.wav,0.479686975479126,159.0,5.0,4.0,4.0,40.2,42.3,0.9
L1,2019-2-L1-2.wav,0.25272226333618164,75.0,3.0,3.0,4.0,20.4,21.7,0.9
L1,2019-2-L1-3.wav,0.4306943416595459,110.0,6.0,3.0,4.0,30.6,35.1,0.9
L1,2019-2-L1.wav,0.7361838817596436,177.0,18.0,3.0,4.0,48.8,58.1,0.8
L2,2019-2-L2-.wav,0.7328770160675049,203.0,14.0,3.0,4.0,49.7,59.6,0.8
L2,2019-2-L2-1.wav,0.3654961585998535,108.0,10.0,4.0,4.0,25.1,29.3,0.9
